task_key,title,current_assessment,evidence,note,skip_commit,direct_merged_prs
01-platform-infrastructure.md#T-06.02.03,Create timezone-aware date/time display utilities,partial,apps/web/src/routes/_app/settings/timezone.tsx,Timezone preference exists; all consumers do not yet consistently apply it.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.02.04,Create logic for RTL/LTR switching based on locale,partial,apps/web/src/pages/DashboardLayout.tsx,RTL/locale pieces exist; complete context propagation and F20 checks.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.02.05,Localize number/currency formatting,partial,apps/web/src,Per-screen currency/number formatting exists; verify centralized exact IRR formatting.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.03.01,Initialize `packages/ui` with shadcn/ui and Base UI,existing_implementation_revalidate,packages/ui/package.json,"UI package, shadcn and Base UI exist through later design work.",c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.03.02,Create themed component set with RTL support,existing_implementation_revalidate,packages/ui/src/components,Themed component set exists; perform RTL acceptance checks.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.03.03,Implement WCAG 2.2 AA accessibility in all shared components,acceptance_gap,packages/ui/src/components,WCAG acceptance is not established; triage React Doctor and run F20.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.03.04,Create localized DatePicker component,partial,packages/ui/src/components/base-ui/date-picker.tsx,DatePicker and range support exist; F20 must verify Jalali grid behavior.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.03.05,Implement theme system with admin overrides,existing_implementation_revalidate,apps/web/src/pages/AdminBrandingConfig.tsx,Admin branding configuration exists; verify theme propagation/contrast.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.03.06,Create loading/empty/error state components,partial,packages/ui/src/components/ui/skeleton.tsx,Skeleton and per-screen states exist; verify required shared empty/error components.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.04.01,Create privacy-safe analytics abstraction with consent gate and redaction,no_matching_artifact_found,apps/web/src,No complete privacy-safe analytics abstraction identified; marketing notification consent is a different feature.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.01.01,Create `pnpm setup:dev` convenience script,no_matching_artifact_found,package.json,Root setup:dev script is absent.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.01.02,Configure dev-mode OTP bypass and console printing,partial,apps/api/src/auth/otp.service.ts,Development OTP printing exists; validate bypass gating and production exclusion.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.01.03,Create `pnpm db:push` script for dev schema synchronization,existing_implementation_revalidate,packages/db/package.json,Inspect existing database push scripts and development-only constraints before adding anything.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.01.04,Add environment indicator middleware,no_matching_artifact_found,apps/api/src/app.module.ts,No complete required environment-indicator middleware identified.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.02.01,Create versioned configuration store in PostgreSQL,partial,packages/shared/src/config-cache/config-cache.ts,app_config and versioned feature configurations exist; no single fully certified store contract.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.02.02,Create configuration validation framework,partial,packages/shared/src/admin,Typed per-feature validators exist; verify framework-wide version/activation rules.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.02.03,Implement configuration rollback,partial,apps/api/src/provider-config,Provider rollback exists; verify required scope for general configuration rollback.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.02.04,Create secrets encryption and masking service,partial,apps/api/src/provider-config/provider-secrets.service.ts,Provider and AI secret encryption exist; verification provider handling needs F06.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.02.05,Implement provider configuration lifecycle with test-send,partial,apps/api/src/provider-config,Provider lifecycle/test adapters exist; production delivery remains F09.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.03.01,Create shared ESLint configuration,no_matching_artifact_found,package.json,Root lint delegates to empty per-package task set; no shared ESLint configuration found.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.03.02,Configure Prettier with consistent formatting,no_matching_artifact_found,package.json,Root format commands exist; no substantive shared Prettier task/config found.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.03.03,"Set up Husky, lint-staged, and commitlint",no_matching_artifact_found,package.json,No Husky/lint-staged/commitlint setup found.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.03.04,Create `.editorconfig` and `.vscode` workspace settings,no_matching_artifact_found,README.md,No .editorconfig or .vscode workspace settings found.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.04.01,Create incident runbooks directory (`docs/runbooks/`),partial,docs/operations/backup/config-restore-runbook.md,"Some operational runbooks exist, not the complete incident runbook set.",c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.04.02,Create initial ADRs,existing_implementation_revalidate,docs/adr,Four ADR files exist; compare with the required initial decision list.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.04.03,Create deployment guide,partial,README.md,Deployment instructions are distributed across files; complete/validate guide after F18.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.04.04,Create incident response plan,no_matching_artifact_found,docs,No complete incident-response plan identified.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.05.01,Enforce “no external call inside a database transaction”,acceptance_gap,apps/api/src,Some provider flows separate calls from transactions; no repository-wide enforcement proof.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.05.02,Generate and verify TypeScript API client contracts from OpenAPI,partial,apps/api/package.json,OpenAPI generation exists; generated TypeScript client plus CI drift check not established.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.05.03,Verify health-endpoint middleware exclusions,acceptance_gap,apps/api/src/app.module.ts,Verify real HTTP health exclusions and rate-limit/auth behavior; no completed end-to-end proof.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-07.05.04,Document and gate module extraction criteria,needs_document_review,architecture.md,Architecture exists; explicit module-extraction criteria/gates still need requirement comparison.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
