task_key,title,assessment,merged_prs,historically_skipped,repair_groups,acceptance_groups,requirement,current_source_files
01-platform-infrastructure.md#T-01.03.02,Configure NestJS build pipeline in `apps/api`,merged_source_evidence_acceptance_retest_required,11,False,,"F19,F22",kanban/epics/01-platform-infrastructure.md:134,apps/api/nest-cli.json;apps/api/package.json;apps/api/src/app.controller.ts;apps/api/src/app.module.ts;apps/api/src/generate-openapi.ts;apps/api/src/main.ts;pnpm-lock.yaml
01-platform-infrastructure.md#T-01.03.03,Implement route-level code splitting and lazy loading for heavy modules,merged_source_evidence_acceptance_retest_required,12,False,,"F19,F22",kanban/epics/01-platform-infrastructure.md:139,apps/web/src/components/RouteErrorBoundary.tsx;apps/web/src/components/RouteSkeleton.tsx;apps/web/src/pages/AIChat.tsx;apps/web/src/pages/AdminDashboard.tsx;apps/web/src/pages/AdminLayout.tsx;apps/web/src/pages/ChartsPage.tsx;apps/web/src/pages/DocumentsPage.tsx;apps/web/src/pages/VideosPage.tsx;apps/web/src/routeTree.gen.ts;apps/web/src/routes/admin.tsx;apps/web/src/routes/admin/index.tsx;apps/web/src/routes/admin/users.tsx;apps/web/vite.config.ts
01-platform-infrastructure.md#T-01.03.04,Implement bundle budget checking in CI,merged_source_evidence_acceptance_retest_required,13,False,,"F19,F22",kanban/epics/01-platform-infrastructure.md:145,.github/workflows/ci.yml;.size-limit.json;package.json;pnpm-lock.yaml
01-platform-infrastructure.md#T-01.03.05,Configure hashed filenames and CDN-ready public asset output,merged_source_evidence_acceptance_retest_required,14,False,,"F19,F22",kanban/epics/01-platform-infrastructure.md:150,.env.example;apps/api/src/common/cache-control.interceptor.ts;apps/api/src/main.ts;apps/web/vite.config.ts
01-platform-infrastructure.md#T-01.04.01,Create root `vitest.workspace.ts` that includes all packages and apps,merged_source_evidence_acceptance_retest_required,15,False,,"F19,F22",kanban/epics/01-platform-infrastructure.md:172,apps/api/package.json;apps/api/vitest.config.ts;apps/web/package.json;apps/web/src/test/setup.ts;apps/web/vitest.config.ts;package.json;packages/db/package.json;packages/db/vitest.config.ts;packages/i18n/package.json;packages/i18n/vitest.config.ts;packages/shared/package.json;packages/shared/vitest.config.ts;packages/ui/package.json;packages/ui/vitest.config.ts;pnpm-lock.yaml;vitest.workspace.ts
01-platform-infrastructure.md#T-01.04.02,Configure per-package Vitest with coverage thresholds,merged_source_evidence_acceptance_retest_required,16,False,,"F19,F22",kanban/epics/01-platform-infrastructure.md:177,apps/api/vitest.config.ts;apps/web/vitest.config.ts;packages/db/vitest.config.ts;packages/i18n/vitest.config.ts;packages/shared/vitest.config.ts;packages/tsconfig/package.json;packages/tsconfig/vitest.base.config.test.ts;packages/tsconfig/vitest.base.config.ts;packages/ui/vitest.config.ts
01-platform-infrastructure.md#T-01.04.03,Configure backend integration test setup with real PostgreSQL,merged_source_evidence_acceptance_retest_required,21,False,,"F19,F22",kanban/epics/01-platform-infrastructure.md:182,packages/db/package.json;packages/db/src/test/globalSetup.ts;packages/db/src/test/integration.test.ts;packages/db/src/test/testDb.ts;packages/db/vitest.config.ts;pnpm-lock.yaml
01-platform-infrastructure.md#T-01.04.04,Configure Playwright for E2E testing,merged_source_evidence_acceptance_retest_required,25,False,,"F19,F22",kanban/epics/01-platform-infrastructure.md:187,.gitignore;apps/web/e2e/fixtures.ts;apps/web/e2e/global-setup.ts;apps/web/e2e/smoke.spec.ts;apps/web/package.json;apps/web/playwright.config.ts;apps/web/vitest.config.ts;pnpm-lock.yaml
01-platform-infrastructure.md#T-01.04.05,Wire `test` and `test:coverage` tasks in `turbo.json`,merged_source_evidence_acceptance_retest_required,26,False,,"F19,F22",kanban/epics/01-platform-infrastructure.md:192,.github/workflows/ci.yml;apps/api/package.json;apps/web/package.json;package.json;packages/db/package.json;packages/i18n/package.json;packages/shared/package.json;packages/ui/package.json;turbo.json
01-platform-infrastructure.md#T-01.04.06,Configure flaky-test quarantine process,merged_source_evidence_acceptance_retest_required,28,False,,"F19,F22",kanban/epics/01-platform-infrastructure.md:197,.github/workflows/ci.yml;README.md;docs/flaky-test-quarantine.md;scripts/check-flaky-tests.sh;scripts/quarantine-registry.json
01-platform-infrastructure.md#T-01.05.01,Implement global NestJS `HttpExceptionFilter` and `CorrelationIdMiddleware`,merged_source_evidence_acceptance_retest_required,29,False,,F22,kanban/epics/01-platform-infrastructure.md:217,apps/api/package.json;apps/api/src/app.module.ts;apps/api/src/common/correlation-id.middleware.ts;apps/api/src/common/http-exception.filter.ts;apps/api/src/common/index.ts;apps/api/src/main.ts;apps/api/test/http-exception-filter.spec.ts;apps/api/tsconfig.json;packages/i18n/package.json;packages/i18n/src/index.ts;packages/shared/package.json;packages/shared/src/errors/error-codes.ts;packages/shared/src/errors/index.ts;packages/shared/src/index.ts;pnpm-lock.yaml
01-platform-infrastructure.md#T-02.01.01,"Initialize `packages/db` with Drizzle ORM, `pg`, `pg-pool`, and drizzle-kit",merged_source_evidence_acceptance_retest_required,17,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:246,.github/workflows/ci.yml;packages/db/package.json;packages/db/src/index.test.ts;packages/db/src/index.ts;packages/db/tsconfig.json;pnpm-lock.yaml
01-platform-infrastructure.md#T-02.01.02,"Create PostgreSQL pool factory with configurable pool, statement timeout, lock timeout, and idle transaction guard",merged_source_evidence_acceptance_retest_required,18,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:251,packages/db/src/index.test.ts;packages/db/src/index.ts
01-platform-infrastructure.md#T-02.01.03,Implement query timeout and cancellation via Drizzle configuration,merged_source_evidence_acceptance_retest_required,19,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:256,packages/db/src/index.test.ts;packages/db/src/index.ts
01-platform-infrastructure.md#T-02.01.04,Set up database health check endpoint for readiness probes,merged_source_evidence_acceptance_retest_required,20,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:261,packages/db/src/index.test.ts;packages/db/src/index.ts
01-platform-infrastructure.md#T-02.02.01,Create `packages/db/src/types.ts` with custom Drizzle type definitions,merged_source_evidence_acceptance_retest_required,22,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:286,packages/db/src/index.ts;packages/db/src/types.test.ts;packages/db/src/types.ts
01-platform-infrastructure.md#T-02.02.02,"Create base table factory with `id`, `createdAt`, `updatedAt` columns",merged_source_evidence_acceptance_retest_required,23,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:291,packages/db/src/base-table.test.ts;packages/db/src/base-table.ts;packages/db/src/index.ts
01-platform-infrastructure.md#T-02.02.03,Create UUIDv7 generation function migration,merged_source_evidence_acceptance_retest_required,24,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:296,packages/db/drizzle/0000_init_uuidv7_function.sql;packages/db/drizzle/0001_down_uuidv7_function.sql;packages/db/src/uuidv7-migration.test.ts
01-platform-infrastructure.md#T-02.02.04,Document and enforce column conventions in ADR,merged_source_evidence_acceptance_retest_required,27,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:301,docs/adr/001-data-types-and-conventions.md
01-platform-infrastructure.md#T-02.03.01,Configure `drizzle.config.ts` in `packages/db`,merged_source_evidence_acceptance_retest_required,79,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:325,packages/db/drizzle.config.ts
01-platform-infrastructure.md#T-02.03.02,Create migration runner script for production deployments,merged_source_evidence_acceptance_retest_required,80,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:330,packages/db/package.json;packages/db/src/migrate.ts;pnpm-lock.yaml
01-platform-infrastructure.md#T-02.03.03,Create migration validation test (clean + upgrade path),legacy_claim_requires_acceptance_evidence,,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:335,
01-platform-infrastructure.md#T-02.03.04,Implement expand/migrate/contract documentation and PR checklist,legacy_claim_requires_acceptance_evidence,,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:340,
01-platform-infrastructure.md#T-02.04.01,Create seed script `packages/db/src/seed/index.ts`,merged_source_evidence_acceptance_retest_required,81,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:364,packages/db/src/index.ts;packages/db/src/schema/products.ts;packages/db/src/seed/index.ts
01-platform-infrastructure.md#T-02.04.02,Create four default electricity products in seed,merged_source_evidence_acceptance_retest_required,82,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:369,packages/db/src/seed/index.ts;packages/i18n/src/index.ts
01-platform-infrastructure.md#T-02.04.03,Create admin bootstrap mechanism,merged_source_evidence_acceptance_retest_required,83,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:374,packages/db/drizzle/0002_add_is_admin_to_users.sql;packages/db/package.json;packages/db/src/schema/users.ts;packages/db/src/seed/index.ts;pnpm-lock.yaml
01-platform-infrastructure.md#T-02.04.04,Wire `pnpm db:seed` script in `packages/db/package.json`,merged_source_evidence_acceptance_retest_required,84,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:379,package.json;packages/db/package.json
01-platform-infrastructure.md#T-02.04.05,Add seed verification test,merged_source_evidence_acceptance_retest_required,85,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:384,packages/db/src/seed/index.ts;packages/db/src/seed/seed.test.ts
01-platform-infrastructure.md#T-02.04.06,Configure database constraint to prevent deletion of system electricity products and creation of additional electricity-product types,merged_source_evidence_acceptance_retest_required,86,False,,"F02,F22",kanban/epics/01-platform-infrastructure.md:389,packages/db/drizzle/0003_protect_system_products.sql;packages/db/src/seed/seed.test.ts
01-platform-infrastructure.md#T-03.01.01,Create `Dockerfile.web` with multi-stage build,affected_by_identified_gap,"94,30",False,"F18,F21",F22,kanban/epics/01-platform-infrastructure.md:422,.npmrc;Dockerfile.web;apps/web/healthcheck.js;apps/web/server.js;apps/web/server/index.js;apps/web/test/server.spec.ts
01-platform-infrastructure.md#T-03.01.02,"Create shared `Dockerfile.base` for API and worker (same build, different CMD)",affected_by_identified_gap,"95,31",False,"F18,F21",F22,kanban/epics/01-platform-infrastructure.md:427,Dockerfile.base;apps/api/healthcheck.js;packages/i18n/package.json
01-platform-infrastructure.md#T-03.01.03,Create `.dockerignore`,affected_by_identified_gap,"96,32",False,"F18,F21",F22,kanban/epics/01-platform-infrastructure.md:432,.dockerignore
01-platform-infrastructure.md#T-03.01.04,Add `HEALTHCHECK` instruction to all Dockerfiles,affected_by_identified_gap,"97,33",False,"F18,F21",F22,kanban/epics/01-platform-infrastructure.md:437,Dockerfile.base;Dockerfile.web;scripts/healthcheck-base.sh
01-platform-infrastructure.md#T-03.01.05,Implement security hardening in Docker images,affected_by_identified_gap,"98,34",False,"F18,F21",F22,kanban/epics/01-platform-infrastructure.md:442,Dockerfile.base;Dockerfile.web;docker-compose.prod.yml
01-platform-infrastructure.md#T-03.02.01,"Create `docker-compose.yml` with PostgreSQL, Redis, MinIO",affected_by_identified_gap,35,False,F18,F22,kanban/epics/01-platform-infrastructure.md:469,docker-compose.yml
01-platform-infrastructure.md#T-03.02.02,Create `.env.example` with all required development variables,affected_by_identified_gap,36,False,F18,F22,kanban/epics/01-platform-infrastructure.md:474,.env.example
01-platform-infrastructure.md#T-03.02.03,Create root `pnpm dev` script for hot-reload local development across all apps,affected_by_identified_gap,37,False,F18,F22,kanban/epics/01-platform-infrastructure.md:479,apps/api/package.json;packages/db/package.json;packages/i18n/package.json;packages/shared/package.json;packages/ui/package.json
01-platform-infrastructure.md#T-03.02.04,Configure file-watch with proper polling for Docker-for-Mac compatibility,affected_by_identified_gap,38,False,F18,F22,kanban/epics/01-platform-infrastructure.md:484,README.md;package.json
01-platform-infrastructure.md#T-03.03.01,Implement liveness and readiness controllers in NestJS API,affected_by_identified_gap,39,False,F18,F22,kanban/epics/01-platform-infrastructure.md:508,apps/api/src/app.controller.ts;apps/api/src/app.module.ts;apps/api/src/health/health.controller.ts;apps/api/src/health/health.module.ts;apps/api/src/health/health.service.ts
01-platform-infrastructure.md#T-03.03.02,Implement graceful `SIGTERM` handler for NestJS API and worker,affected_by_identified_gap,40,False,F18,F22,kanban/epics/01-platform-infrastructure.md:513,apps/api/src/app.module.ts;apps/api/src/common/index.ts;apps/api/src/common/shutdown.service.ts;apps/api/src/main.ts;apps/worker/package.json;apps/worker/src/main.ts;apps/worker/tsconfig.json;pnpm-lock.yaml
01-platform-infrastructure.md#T-03.03.03,Implement graceful shutdown for web frontend server,affected_by_identified_gap,41,False,"F18,F21",F22,kanban/epics/01-platform-infrastructure.md:518,apps/web/server/index.js
01-platform-infrastructure.md#T-03.03.04,Add readiness check that excludes non-critical dependencies,affected_by_identified_gap,42,False,F18,F22,kanban/epics/01-platform-infrastructure.md:523,apps/api/src/common/shutdown.service.ts;apps/api/src/health/health.controller.ts;apps/api/src/health/health.service.ts;packages/db/package.json;packages/i18n/package.json;packages/shared/package.json
01-platform-infrastructure.md#T-04.01.01,Configure PostgreSQL connection pooling strategy,merged_source_evidence_acceptance_retest_required,43,False,,F22,kanban/epics/01-platform-infrastructure.md:555,.env.example;docker-compose.yml;docs/adr/002-connection-pooling.md;packages/db/src/index.ts
01-platform-infrastructure.md#T-04.01.02,Configure automated backups with WAL archiving and PITR,merged_source_evidence_acceptance_retest_required,44,False,,F22,kanban/epics/01-platform-infrastructure.md:560,.env.example;docker-compose.yml;packages/db/scripts/backup/archive-wal.sh;packages/db/scripts/backup/backup-pg.sh;postgres-config/barghsa-postgres.conf
01-platform-infrastructure.md#T-04.01.03,Document and automate restore procedure,merged_source_evidence_acceptance_retest_required,45,False,,F22,kanban/epics/01-platform-infrastructure.md:565,packages/db/scripts/backup/restore-pg.sh
01-platform-infrastructure.md#T-04.01.04,Implement PostgreSQL performance baseline and monitoring,merged_source_evidence_acceptance_retest_required,46,False,,F22,kanban/epics/01-platform-infrastructure.md:570,apps/api/package.json;apps/api/src/app.module.ts;apps/api/src/metrics/metrics.controller.ts;apps/api/src/metrics/metrics.module.ts;apps/api/src/metrics/metrics.service.ts;packages/db/src/index.ts;packages/db/src/metrics.ts;pnpm-lock.yaml;postgres-config/alert-rules.json;postgres-config/barghsa-postgres.conf
01-platform-infrastructure.md#T-04.01.05,Quarterly restore exercise,merged_source_evidence_acceptance_retest_required,48,False,,F22,kanban/epics/01-platform-infrastructure.md:575,packages/db/package.json;packages/db/scripts/backup/verify-restore-template.sql;packages/db/scripts/backup/verify-restore.sh;packages/tsconfig/vitest.base.config.ts
01-platform-infrastructure.md#T-04.01.06,Hybrid deployment: separate managed PostgreSQL from app VM,affected_by_identified_gap,49,False,F18,F22,kanban/epics/01-platform-infrastructure.md:580,.env.example;docs/adr/003-hybrid-deployment.md;packages/db/src/index.ts
01-platform-infrastructure.md#T-04.01.07,"Encrypted off-server backup of config, secrets, and critical application files",merged_source_evidence_acceptance_retest_required,50,False,,F22,kanban/epics/01-platform-infrastructure.md:586,.env.example;docs/operations/backup/config-restore-runbook.md;packages/db/scripts/backup/backup-config.sh;packages/db/scripts/backup/restore-config.sh;packages/db/scripts/backup/verify-restore-config.sh
01-platform-infrastructure.md#T-04.02.01,Create Redis connection factory with graceful fallback,merged_source_evidence_acceptance_retest_required,51,False,,F22,kanban/epics/01-platform-infrastructure.md:609,apps/api/package.json;apps/api/src/app.module.ts;apps/api/src/health/health.service.ts;apps/api/src/redis/index.ts;apps/api/src/redis/redis.module.ts;packages/shared/package.json;packages/shared/src/index.ts;packages/shared/src/redis/index.ts;packages/shared/src/redis/redis-config.ts;packages/shared/src/redis/redis-factory.ts;pnpm-lock.yaml
01-platform-infrastructure.md#T-04.02.02,Implement distributed rate-limiting with Redis acceleration + PostgreSQL fallback,affected_by_identified_gap,52,False,F23,F22,kanban/epics/01-platform-infrastructure.md:614,apps/api/src/app.module.ts;apps/api/src/rate-limit/index.ts;apps/api/src/rate-limit/rate-limit.decorator.ts;apps/api/src/rate-limit/rate-limit.guard.ts;apps/api/src/rate-limit/rate-limit.module.ts;apps/api/src/rate-limit/rate-limit.service.ts;packages/db/src/index.ts;packages/db/src/schema/rate-limit.ts;packages/shared/package.json;packages/shared/src/index.ts;packages/shared/src/rate-limit/composite-rate-limiter.test.ts;packages/shared/src/rate-limit/composite-rate-limiter.ts;packages/shared/src/rate-limit/index.ts;packages/shared/src/rate-limit/postgres-rate-limiter.test.ts;packages/shared/src/rate-limit/postgres-rate-limiter.ts;packages/shared/src/rate-limit/types.test.ts;packages/shared/src/rate-limit/types.ts
01-platform-infrastructure.md#T-04.02.03,Implement configuration caching with clear invalidation,merged_source_evidence_acceptance_retest_required,53,False,,F22,kanban/epics/01-platform-infrastructure.md:619,apps/api/src/app.module.ts;apps/api/src/config-cache/config-cache.module.ts;apps/api/src/config-cache/config-cache.service.ts;apps/api/src/config-cache/index.ts;packages/db/package.json;packages/db/src/index.ts;packages/db/src/schema/config.ts;packages/shared/package.json;packages/shared/src/config-cache/config-cache.test.ts;packages/shared/src/config-cache/config-cache.ts;packages/shared/src/config-cache/index.ts;packages/shared/src/index.ts
01-platform-infrastructure.md#T-04.02.04,Document Redis architecture decision in ADR,merged_source_evidence_acceptance_retest_required,54,False,,F22,kanban/epics/01-platform-infrastructure.md:624,docs/adr/002-redis-scope.md
01-platform-infrastructure.md#T-04.03.01,Create S3 storage provider abstraction,merged_source_evidence_acceptance_retest_required,55,False,,F22,kanban/epics/01-platform-infrastructure.md:651,packages/shared/package.json;packages/shared/src/index.ts;packages/shared/src/storage/index.ts;packages/shared/src/storage/s3-storage-provider.ts;packages/shared/src/storage/storage-factory.ts;packages/shared/src/storage/storage-provider.ts;packages/shared/src/storage/storage.test.ts;pnpm-lock.yaml
01-platform-infrastructure.md#T-04.03.02,Implement presigned URL workflow for direct browser upload/download,merged_source_evidence_acceptance_retest_required,56,False,,F22,kanban/epics/01-platform-infrastructure.md:656,apps/api/src/app.module.ts;apps/api/src/storage/index.ts;apps/api/src/storage/storage.module.ts;apps/api/src/upload/index.ts;apps/api/src/upload/upload.config.ts;apps/api/src/upload/upload.controller.ts;apps/api/src/upload/upload.module.ts;apps/api/src/upload/upload.types.ts;apps/api/test/upload.controller.spec.ts
01-platform-infrastructure.md#T-04.03.03,Configure bucket versioning and lifecycle policies,merged_source_evidence_acceptance_retest_required,57,False,,F22,kanban/epics/01-platform-infrastructure.md:661,package.json;packages/shared/src/storage/index.ts;packages/shared/src/storage/setup-bucket.test.ts;packages/shared/src/storage/setup-bucket.ts;scripts/setup-bucket.ts
01-platform-infrastructure.md#T-04.03.04,Create admin configuration UI for storage,merged_source_evidence_acceptance_retest_required,58,False,,F22,kanban/epics/01-platform-infrastructure.md:666,apps/api/src/storage/storage-admin.controller.ts;apps/api/src/storage/storage.module.ts;apps/web/src/pages/AdminLayout.tsx;apps/web/src/pages/AdminStorageConfig.tsx;apps/web/src/routeTree.gen.ts;apps/web/src/routes/admin/storage.tsx
01-platform-infrastructure.md#T-04.03.05,Enforce immutability for signed contracts and critical records,merged_source_evidence_acceptance_retest_required,59,False,,F22,kanban/epics/01-platform-infrastructure.md:672,apps/api/src/storage/index.ts;apps/api/src/storage/storage-admin.controller.ts;apps/api/src/storage/storage-record-db-adapter.ts;apps/api/src/storage/storage-records.controller.ts;apps/api/src/storage/storage.constants.ts;apps/api/src/storage/storage.module.ts;apps/api/src/upload/upload.controller.ts;apps/api/test/upload.controller.spec.ts;packages/db/package.json;packages/db/src/index.ts;packages/db/src/schema/storage-record.ts;packages/shared/src/storage/immutable-storage.test.ts;packages/shared/src/storage/immutable-storage.ts;packages/shared/src/storage/index.ts
01-platform-infrastructure.md#T-04.04.01,Create NGINX/Caddy configuration for pilot (single-node) topology,merged_source_evidence_acceptance_retest_required,60,False,,F22,kanban/epics/01-platform-infrastructure.md:699,deploy/pilot/Caddyfile;deploy/pilot/nginx.conf
01-platform-infrastructure.md#T-04.04.02,Configure security headers in reverse proxy,merged_source_evidence_acceptance_retest_required,61,False,,F22,kanban/epics/01-platform-infrastructure.md:704,apps/api/src/app.module.ts;apps/api/src/csp-report/csp-report.controller.ts;apps/api/src/csp-report/csp-report.module.ts;apps/api/src/csp-report/csp-report.types.ts;deploy/pilot/Caddyfile;deploy/pilot/nginx.conf
01-platform-infrastructure.md#T-04.04.03,"Configure edge rate limiting for auth, upload, and AI endpoints",merged_source_evidence_acceptance_retest_required,62,False,,F22,kanban/epics/01-platform-infrastructure.md:709,deploy/pilot/Caddyfile;deploy/pilot/nginx.conf
01-platform-infrastructure.md#T-04.04.04,Configure static asset caching and CDN readiness,merged_source_evidence_acceptance_retest_required,63,False,,F22,kanban/epics/01-platform-infrastructure.md:714,deploy/pilot/Caddyfile;deploy/pilot/nginx.conf
01-platform-infrastructure.md#T-04.04.05,Implement ETag support for safe metadata endpoints,merged_source_evidence_acceptance_retest_required,64,False,,F22,kanban/epics/01-platform-infrastructure.md:720,apps/api/src/app.controller.ts;apps/api/src/common/etag.interceptor.spec.ts;apps/api/src/common/etag.interceptor.ts;apps/api/src/common/index.ts;apps/api/src/main.ts
01-platform-infrastructure.md#T-05.01.01,Create Ansible playbook or deploy script for pilot topology,no_matching_artifact_found,,True,,F22,kanban/epics/01-platform-infrastructure.md:753,
01-platform-infrastructure.md#T-05.01.02,Create `docker-compose.prod.yml` for pilot single-VM deployment,partial,,True,F18,F22,kanban/epics/01-platform-infrastructure.md:758,
01-platform-infrastructure.md#T-05.01.03,Document explicitly that single-server deployment has lower availability,needs_document_review,,True,,F22,kanban/epics/01-platform-infrastructure.md:763,
01-platform-infrastructure.md#T-05.02.01,Design and document commercial HA topology,needs_document_review,,True,,F22,kanban/epics/01-platform-infrastructure.md:790,
01-platform-infrastructure.md#T-05.02.02,Configure rolling/blue-green deployment automation for HA,no_matching_artifact_found,,True,,F22,kanban/epics/01-platform-infrastructure.md:795,
01-platform-infrastructure.md#T-05.02.03,Implement circuit breaker for external providers,partial,,True,,F22,kanban/epics/01-platform-infrastructure.md:800,
01-platform-infrastructure.md#T-05.02.04,"Configure maintenance mode per capability, not whole-application",no_matching_artifact_found,,True,,F22,kanban/epics/01-platform-infrastructure.md:805,
01-platform-infrastructure.md#T-05.03.01,"Create CI workflow definition (GitHub Actions, GitLab CI, or equivalent)",existing_implementation_revalidate,,True,,"F19,F22",kanban/epics/01-platform-infrastructure.md:837,
01-platform-infrastructure.md#T-05.03.02,Implement migration validation step (two environments),partial,,True,,"F19,F22",kanban/epics/01-platform-infrastructure.md:842,
01-platform-infrastructure.md#T-05.03.03,Implement OpenAPI generation and drift check,partial,,True,,"F19,F22",kanban/epics/01-platform-infrastructure.md:847,
01-platform-infrastructure.md#T-05.03.04,Configure security scans in PR gate,no_matching_artifact_found,,True,,"F19,F22",kanban/epics/01-platform-infrastructure.md:852,
01-platform-infrastructure.md#T-05.03.05,Implement coverage threshold enforcement,later_merged_needs_fix,121,True,,"F19,F22",kanban/epics/01-platform-infrastructure.md:857,.github/workflows/ci.yml
01-platform-infrastructure.md#T-05.04.01,Create staging gate CI workflow,no_matching_artifact_found,,True,,F22,kanban/epics/01-platform-infrastructure.md:894,
01-platform-infrastructure.md#T-05.04.02,Create production promotion workflow with canary/gradual rollout,no_matching_artifact_found,,True,,F22,kanban/epics/01-platform-infrastructure.md:899,
01-platform-infrastructure.md#T-05.04.03,Implement post-deploy smoke tests and SLO comparison,no_matching_artifact_found,,True,,F22,kanban/epics/01-platform-infrastructure.md:904,
01-platform-infrastructure.md#T-05.04.04,Create runbooks for rollback scenarios,partial,,True,,F22,kanban/epics/01-platform-infrastructure.md:909,
01-platform-infrastructure.md#T-05.05.01,Create nightly CI schedule,no_matching_artifact_found,,True,,F22,kanban/epics/01-platform-infrastructure.md:944,
01-platform-infrastructure.md#T-05.05.02,Create weekly load/performance regression test,no_matching_artifact_found,,True,,F22,kanban/epics/01-platform-infrastructure.md:949,
01-platform-infrastructure.md#T-05.05.03,Create quarterly disaster-recovery and restore exercise,operational_evidence_required,,True,,F22,kanban/epics/01-platform-infrastructure.md:954,
01-platform-infrastructure.md#T-05.05.04,Create quarterly access review and threat-model update,operational_evidence_required,,True,,F22,kanban/epics/01-platform-infrastructure.md:959,
01-platform-infrastructure.md#T-06.01.01,Initialize `packages/shared` with tsconfig and dependencies,existing_implementation_revalidate,,True,,F22,kanban/epics/01-platform-infrastructure.md:989,
01-platform-infrastructure.md#T-06.01.02,Create username validation and normalization helpers,existing_implementation_revalidate,,True,,F22,kanban/epics/01-platform-infrastructure.md:994,
