PR,title,merged_at,branch,task_keys,URL
29,feat: global HttpExceptionFilter and CorrelationIdMiddleware (T-01.05.01),2026-08-24T09:13:21Z,feat/e01-t-01-05-01--http-exception-filter-correlation-id,01-platform-infrastructure.md#T-01.05.01,https://github.com/barghsadev/barghsa-core/pull/29
30,feat: create Dockerfile.web with multi-stage build (T-03.01.01),2026-08-24T09:28:56Z,feat/e01-t-03-01-01--dockerfile-web,01-platform-infrastructure.md#T-03.01.01,https://github.com/barghsadev/barghsa-core/pull/30
31,feat: create shared Dockerfile.base for API and worker (T-03.01.02),2026-08-24T09:56:14Z,feat/e03-t-03-01-02--shared-dockerfile-base,01-platform-infrastructure.md#T-03.01.02,https://github.com/barghsadev/barghsa-core/pull/31
32,feat(infra): create .dockerignore,2026-08-24T10:03:59Z,feat/e01-t-03-01-03--dockerignore,01-platform-infrastructure.md#T-03.01.03,https://github.com/barghsadev/barghsa-core/pull/32
33,feat(e01): add HEALTHCHECK instruction to all Dockerfiles,2026-08-24T10:17:43Z,feat/e01-t-03-01-04--healthcheck,01-platform-infrastructure.md#T-03.01.04,https://github.com/barghsadev/barghsa-core/pull/33
34,feat(e01): implement security hardening in Docker images,2026-08-24T10:21:06Z,feat/e01-t-03-01-05--docker-security,01-platform-infrastructure.md#T-03.01.05,https://github.com/barghsadev/barghsa-core/pull/34
35,"feat: create docker-compose.yml with PostgreSQL, Redis, MinIO",2026-08-24T10:28:42Z,feat/e01-t-03-02-01--docker-compose,01-platform-infrastructure.md#T-03.02.01,https://github.com/barghsadev/barghsa-core/pull/35
36,feat: create .env.example with all required development variables,2026-08-24T10:36:20Z,feat/e03-t-03-02-02--env-example,01-platform-infrastructure.md#T-03.02.02,https://github.com/barghsadev/barghsa-core/pull/36
37,feat: root pnpm dev script with hot-reload across all apps (T-03.02.03),2026-08-24T10:46:15Z,feat/e01-t-03-02-03--pnpm-dev-script,01-platform-infrastructure.md#T-03.02.03,https://github.com/barghsadev/barghsa-core/pull/37
38,feat(e01): configure file-watch polling for Docker-for-Mac (T-03.02.04),2026-08-24T10:55:40Z,feat/e01-t-03-02-04--docker-file-watch-polling,01-platform-infrastructure.md#T-03.02.04,https://github.com/barghsadev/barghsa-core/pull/38
39,feat: add liveness/readiness health controllers to NestJS API,2026-08-24T11:14:37Z,feat/e03-t-03-03-01--health-controllers,01-platform-infrastructure.md#T-03.03.01,https://github.com/barghsadev/barghsa-core/pull/39
40,feat(e01-t-03-03-02): graceful SIGTERM handler for NestJS API and worker,2026-08-24T11:37:50Z,feat/e01-t-03-03-02--graceful-sigterm,01-platform-infrastructure.md#T-03.03.02,https://github.com/barghsadev/barghsa-core/pull/40
41,feat(e01-t-03-03-03): graceful web frontend shutdown,2026-08-24T11:51:03Z,feat/e01-t-03-03-03--web-frontend-shutdown,01-platform-infrastructure.md#T-03.03.03,https://github.com/barghsadev/barghsa-core/pull/41
42,feat(api): non-critical readiness check with X-Health-Warning header (T-03.03.04),2026-08-24T12:23:33Z,feat/e01-t-03-03-04--readiness-noncritical,01-platform-infrastructure.md#T-03.03.04,https://github.com/barghsadev/barghsa-core/pull/42
43,feat(e04): configure PgBouncer connection pooling strategy (T-04.01.01),2026-08-24T12:41:36Z,feat/e01-t-04-01-01--pgbouncer-pooling,01-platform-infrastructure.md#T-04.01.01,https://github.com/barghsadev/barghsa-core/pull/43
44,feat(db): configure automated backups with WAL archiving (T-04.01.02 — slice 1),2026-08-24T12:57:49Z,feat/e01-t-04-01-02--backup-infra,01-platform-infrastructure.md#T-04.01.02,https://github.com/barghsadev/barghsa-core/pull/44
45,feat(db): add restore-pg.sh script for PostgreSQL backup restoration (T-04.01.03 — slice 1),2026-08-24T13:34:30Z,feat/e01-t-04-01-03--restore-script,01-platform-infrastructure.md#T-04.01.03,https://github.com/barghsadev/barghsa-core/pull/45
46,feat(db): implement PostgreSQL performance baseline and monitoring,2026-08-24T14:23:22Z,feat/e04-t-04-01-04--pg-performance-monitoring,01-platform-infrastructure.md#T-04.01.04,https://github.com/barghsadev/barghsa-core/pull/46
47,fix(ci): enable skipLibCheck for api and worker to resolve drizzle-orm type errors,2026-08-24T14:12:13Z,fix/ci-skip-lib-check,,https://github.com/barghsadev/barghsa-core/pull/47
48,"feat(db): add restore verification script (T-04.01.05, slice 1)",2026-08-24T15:11:19Z,feat/e04-t-04-01-05--quarterly-restore-verify,01-platform-infrastructure.md#T-04.01.05,https://github.com/barghsadev/barghsa-core/pull/48
49,feat(db): hybrid deployment ADR and TLS config (T-04.01.06 slice 1),2026-08-24T15:18:37Z,feat/e04-t-04-01-06-slice1--hybrid-deployment-adr,01-platform-infrastructure.md#T-04.01.06,https://github.com/barghsadev/barghsa-core/pull/49
50,feat: encrypted off-server config & critical files backup (T-04.01.07),2026-08-24T15:27:49Z,feat/e01-t-04-01-07--encrypted-off-server-backup,01-platform-infrastructure.md#T-04.01.07,https://github.com/barghsadev/barghsa-core/pull/50
51,feat(shared): create Redis connection factory with graceful fallback,2026-08-24T15:54:43Z,feat/e04-t-04-02-01--redis-factory,01-platform-infrastructure.md#T-04.02.01,https://github.com/barghsadev/barghsa-core/pull/51
52,feat: distributed rate-limiting with Redis + PostgreSQL fallback (T-04.02.02),2026-08-24T16:17:52Z,feat/e04-t-04-02-02--rate-limiter-pg,01-platform-infrastructure.md#T-04.02.02,https://github.com/barghsadev/barghsa-core/pull/52
53,feat(api): implement configuration caching with version-gated invalidation,2026-08-24T16:54:20Z,feat/e01-t-04-02-03--config-caching,01-platform-infrastructure.md#T-04.02.03,https://github.com/barghsadev/barghsa-core/pull/53
54,feat(docs): ADR-002 Redis scope & architectural guarantees,2026-08-24T17:01:57Z,feat/e01-t-04-02-04--redis-adr,01-platform-infrastructure.md#T-04.02.04,https://github.com/barghsadev/barghsa-core/pull/54
55,feat(shared): add S3 storage provider abstraction (T-04.03.01),2026-08-24T17:21:37Z,feat/e04-t-04-03-01--s3-storage-provider,01-platform-infrastructure.md#T-04.03.01,https://github.com/barghsadev/barghsa-core/pull/55
56,feat(api): presigned URL backend — StorageModule + UploadModule (T-04.03.02 slice 1),2026-08-24T17:47:18Z,feat/e04-t04-03-02--presigned-url-backend,01-platform-infrastructure.md#T-04.03.02,https://github.com/barghsadev/barghsa-core/pull/56
57,feat(storage): configure bucket versioning and lifecycle policies,2026-08-24T17:58:44Z,feat/e04-t-04-03-03--bucket-versioning-lifecycle,01-platform-infrastructure.md#T-04.03.03,https://github.com/barghsadev/barghsa-core/pull/57
58,feat: admin storage configuration UI (T-04.03.04),2026-08-24T18:11:54Z,feat/e04-t-04-03-04--admin-storage-config,01-platform-infrastructure.md#T-04.03.04,https://github.com/barghsadev/barghsa-core/pull/58
59,T-04.03.05: Enforce immutability for signed contracts and critical records,2026-08-24T18:34:18Z,feat/e04-t-04-03-05--immutable-storage,01-platform-infrastructure.md#T-04.03.05,https://github.com/barghsadev/barghsa-core/pull/59
60,T-04.04.01: Create NGINX/Caddy configuration for pilot (single-node) topology,2026-08-24T18:45:47Z,feat/e04-t-04-04-01--pilot-proxy-config,01-platform-infrastructure.md#T-04.04.01,https://github.com/barghsadev/barghsa-core/pull/60
61,feat: configure CSP Report-Only headers and reporting endpoint,2026-08-24T18:56:32Z,feat/e04-t-04-04-02--security-headers,01-platform-infrastructure.md#T-04.04.02,https://github.com/barghsadev/barghsa-core/pull/61
62,"feat(T-04.04.03): configure edge rate limiting for auth, upload, and AI endpoints",2026-08-24T19:06:01Z,feat/e01-t-04-04-03--edge-rate-limiting,01-platform-infrastructure.md#T-04.04.03,https://github.com/barghsadev/barghsa-core/pull/62
63,feat(e04): configure static asset caching and CDN readiness,2026-08-24T19:22:08Z,feat/e01-t-04-04-04--static-asset-caching,01-platform-infrastructure.md#T-04.04.04,https://github.com/barghsadev/barghsa-core/pull/63
64,feat(e04): implement ETag support for safe metadata endpoints,2026-08-24T19:37:16Z,feat/e04-t-04-04-05--etag-support,01-platform-infrastructure.md#T-04.04.05,https://github.com/barghsadev/barghsa-core/pull/64
65,"feat(e07): initialize packages/ui with Tailwind CSS v4, PostCSS, autoprefixer",2026-08-24T20:19:14Z,feat/e07-t-07-01-01-01--tailwind-v4-setup,07-ui-ux-design.md#T-07.01.01.01,https://github.com/barghsadev/barghsa-core/pull/65
66,feat(ui): install and configure shadcn/ui CLI with 27 components,2026-08-24T20:39:53Z,feat/e07-t-07-01-01-02--shadcn-ui-setup,07-ui-ux-design.md#T-07.01.01.02,https://github.com/barghsadev/barghsa-core/pull/66
67,"feat(ui): implement Base UI widgets — NumberField, DatePicker, ComboBox, MultiSelect, DataTable",2026-08-24T20:59:34Z,feat/e07-t-07-01-01-03--base-ui-widgets,07-ui-ux-design.md#T-07.01.01.03,https://github.com/barghsadev/barghsa-core/pull/67
68,feat(e02): add register route with shared auth layout,2026-08-24T21:12:40Z,feat/e02-t-01-01-01--register-route-auth-layout,02-auth-users-admin.md#T-01.01.01,https://github.com/barghsadev/barghsa-core/pull/68
69,feat(auth): unified username field with type detection and E.164 normalization,2026-08-24T21:21:16Z,feat/e02-t-01-01-02--unified-username-field,02-auth-users-admin.md#T-01.01.02,https://github.com/barghsadev/barghsa-core/pull/69
70,feat(e02): password field with visibility toggle and strength meter,2026-08-24T21:52:39Z,feat/e02-t-01-01-03--password-field,02-auth-users-admin.md#T-01.01.03,https://github.com/barghsadev/barghsa-core/pull/70
71,feat(auth): add TOS acceptance checkbox to register form (#T-01.01.04),2026-08-24T22:02:48Z,feat/e02-t-01-01-04--tos-checkbox,02-auth-users-admin.md#T-01.01.04,https://github.com/barghsadev/barghsa-core/pull/71
72,"feat(register): Add ""Back to login"" and ""Forgot password?"" links (T-01.01.05)",2026-08-24T22:09:22Z,feat/e02-t-01-01-05--back-to-login-forgot-pw-links,02-auth-users-admin.md#T-01.01.05,https://github.com/barghsadev/barghsa-core/pull/72
73,feat(auth): registration form submission and error handling (T-01.01.06),2026-08-24T22:37:46Z,feat/e02-t-01-01-06--register-submit,02-auth-users-admin.md#T-01.01.06,https://github.com/barghsadev/barghsa-core/pull/73
74,"feat(auth): OTP backend generation, storage, and verification (T-01.02.01)",2026-08-24T23:27:25Z,feat/e02-t-01-02-01--otp-backend,02-auth-users-admin.md#T-01.02.01,https://github.com/barghsadev/barghsa-core/pull/74
75,feat: OTP input UI with resend (T-01.02.02),2026-08-25T00:10:15Z,feat/e02-t-01-02-02--otp-input-ui,02-auth-users-admin.md#T-01.02.02,https://github.com/barghsadev/barghsa-core/pull/75
76,feat: OTP verification and user creation (T-01.02.03),2026-08-25T01:10:59Z,feat/e02-t-01-02-03--otp-verification-and-user-creation,02-auth-users-admin.md#T-01.02.03,https://github.com/barghsadev/barghsa-core/pull/76
77,feat: Login page UI (T-02.01.01),2026-08-25T01:21:28Z,feat/e02-t-02-01-01--login-page-ui,02-auth-users-admin.md#T-02.01.01,https://github.com/barghsadev/barghsa-core/pull/77
78,feat(auth): login authentication endpoint (T-02.01.02 Slice 1),2026-08-25T01:51:25Z,feat/e02-t-02-01-02--login-authentication-flow,02-auth-users-admin.md#T-02.01.02,https://github.com/barghsadev/barghsa-core/pull/78
79,feat(db): configure drizzle.config.ts (T-02.03.01),2026-08-25T02:02:55Z,feat/e01-t-02-03-01--drizzle-config,01-platform-infrastructure.md#T-02.03.01,https://github.com/barghsadev/barghsa-core/pull/79
80,feat(db): create migration runner script for production deployments (T-02.03.02),2026-08-25T02:17:20Z,feat/e01-t-02-03-02--migration-runner,01-platform-infrastructure.md#T-02.03.02,https://github.com/barghsadev/barghsa-core/pull/80
81,feat(db): create seed script with extensible upsert framework,2026-08-25T02:33:36Z,feat/e01-t-02-04-01--seed-script,01-platform-infrastructure.md#T-02.04.01,https://github.com/barghsadev/barghsa-core/pull/81
82,feat(db): add four default electricity products to seed,2026-08-25T02:44:49Z,feat/e01-t-02-04-02--default-electricity-products,01-platform-infrastructure.md#T-02.04.02,https://github.com/barghsadev/barghsa-core/pull/82
83,feat(db): admin bootstrap mechanism (T-02.04.03),2026-08-25T03:02:32Z,feat/e01-t-02-04-03--admin-bootstrap,01-platform-infrastructure.md#T-02.04.03,https://github.com/barghsadev/barghsa-core/pull/83
84,feat(db): wire pnpm db:seed script (T-02.04.04),2026-08-25T03:13:31Z,feat/e01-t-02-04-04--pnpm-db-seed-script,01-platform-infrastructure.md#T-02.04.04,https://github.com/barghsadev/barghsa-core/pull/84
85,feat(db): add seed verification test (T-02.04.05),2026-08-25T03:28:23Z,feat/e01-t-02-04-05--seed-verification-test,01-platform-infrastructure.md#T-02.04.05,https://github.com/barghsadev/barghsa-core/pull/85
86,feat(db): add database constraints protecting system electricity products,2026-08-25T03:38:58Z,feat/e01-t-02-04-06--system-product-constraints,01-platform-infrastructure.md#T-02.04.06,https://github.com/barghsadev/barghsa-core/pull/86
87,feat(e02): login OTP verification (T-02.01.03),2026-08-25T04:06:12Z,feat/e02-t-02-01-03--login-otp-verify,02-auth-users-admin.md#T-02.01.03,https://github.com/barghsadev/barghsa-core/pull/87
88,feat: password change enforcement on login (T-02.01.04),2026-08-25T04:22:41Z,feat/e02-t-02-01-04--password-change-enforcement,02-auth-users-admin.md#T-02.01.04,https://github.com/barghsadev/barghsa-core/pull/88
89,feat(e02): session creation and cookie management (T-02.02.01),2026-08-25T05:34:32Z,feat/e02-t-02-02-01--session-creation-cookie,02-auth-users-admin.md#T-02.02.01,https://github.com/barghsadev/barghsa-core/pull/89
90,feat: session revocation endpoints and security settings page,2026-08-25T06:07:08Z,feat/e02-t-02-02-02--session-revocation,02-auth-users-admin.md#T-02.02.02,https://github.com/barghsadev/barghsa-core/pull/90
91,feat: CSRF protection (T-02.02.03),2026-08-25T06:32:27Z,feat/e02-t-02-02-03--csrf-protection,02-auth-users-admin.md#T-02.02.03,https://github.com/barghsadev/barghsa-core/pull/91
92,feat(e02): add step-up authentication infrastructure (T-02.02.04),2026-08-25T06:46:27Z,feat/e02-t-02-02-04--step-up-auth,02-auth-users-admin.md#T-02.02.04,https://github.com/barghsadev/barghsa-core/pull/92
93,feat: forgot-password request UI with backend endpoint and inline OTP (T-02.03.01),2026-08-25T07:28:24Z,feat/e02-t-02-03-01--forgot-password-ui,02-auth-users-admin.md#T-02.03.01,https://github.com/barghsadev/barghsa-core/pull/93
94,feat: create Dockerfile.web with multi-stage build,2026-08-25T07:51:28Z,feat/e03-t-03-01-01--dockerfile-web,01-platform-infrastructure.md#T-03.01.01,https://github.com/barghsadev/barghsa-core/pull/94
95,feat: create shared Dockerfile.base for API and worker,2026-08-25T08:14:33Z,feat/e03-t-03-01-02--dockerfile-base,01-platform-infrastructure.md#T-03.01.02,https://github.com/barghsadev/barghsa-core/pull/95
96,feat: create .dockerignore,2026-08-25T08:20:23Z,feat/e03-t-03-01-03--dockerignore,01-platform-infrastructure.md#T-03.01.03,https://github.com/barghsadev/barghsa-core/pull/96
97,feat: add HEALTHCHECK instruction to all Dockerfiles,2026-08-25T08:24:43Z,feat/e03-t-03-01-04--healthcheck,01-platform-infrastructure.md#T-03.01.04,https://github.com/barghsadev/barghsa-core/pull/97
98,feat: implement security hardening in Docker images (T-03.01.05),2026-08-25T08:38:15Z,feat/e03-t-03-01-05--docker-security-hardening,01-platform-infrastructure.md#T-03.01.05,https://github.com/barghsadev/barghsa-core/pull/98
99,feat: implement OTP verification and password reset (T-02.03.02),2026-08-25T08:57:13Z,feat/e02-t-02-03-02--otp-verify-password-reset,02-auth-users-admin.md#T-02.03.02,https://github.com/barghsadev/barghsa-core/pull/99
100,feat(auth): account recovery support path (T-02.03.03),2026-08-25T09:14:57Z,feat/e02-t-02-03-03--account-recovery-support,02-auth-users-admin.md#T-02.03.03,https://github.com/barghsadev/barghsa-core/pull/100
101,feat(e02): auth rate limit enforcement (T-02.04.01),2026-08-25T09:36:11Z,feat/e02-t-02-04-01--auth-rate-limit,02-auth-users-admin.md#T-02.04.01,https://github.com/barghsadev/barghsa-core/pull/101
102,feat: app-level profile check middleware (T-03.01.01),2026-08-25T10:22:33Z,feat/e02-t-03-01-01--profile-check-middleware,02-auth-users-admin.md#T-03.01.01,https://github.com/barghsadev/barghsa-core/pull/102
103,feat: profile verification check after login (T-03.01.02),2026-08-25T10:46:07Z,feat/e02-t-03-01-02--profile-verification-check,02-auth-users-admin.md#T-03.01.02,https://github.com/barghsadev/barghsa-core/pull/103
104,feat(e03): profile type selection on onboarding (T-03.02.01),2026-08-25T11:03:42Z,feat/e03-t-03-02-01--profile-type-selection,02-auth-users-admin.md#T-03.02.01,https://github.com/barghsadev/barghsa-core/pull/104
105,feat: individual profile form (T-03.02.02),2026-08-25T11:40:46Z,feat/e02-t-03-02-02--individual-profile-form,02-auth-users-admin.md#T-03.02.02,https://github.com/barghsadev/barghsa-core/pull/105
106,"feat(e02): legal profiles backend — DB schema, service, onboarding endpoint (T-03.02.03, slice 1)",2026-08-25T11:56:29Z,feat/e02-t-03-02-03--legal-profiles-backend,02-auth-users-admin.md#T-03.02.03,https://github.com/barghsadev/barghsa-core/pull/106
107,feat(e02): onboarding completion page and redirect (T-03.02.04),2026-08-25T12:36:16Z,feat/e02-t-03-02-04--onboarding-completion,02-auth-users-admin.md#T-03.02.04,https://github.com/barghsadev/barghsa-core/pull/107
108,feat: legal profile form page (T-03.02.03),2026-08-25T13:08:46Z,feat/e02-t-03-02-03--legal-profile-form,02-auth-users-admin.md#T-03.02.03,https://github.com/barghsadev/barghsa-core/pull/108
109,T-03.03.01: Profile switcher in sidebar,2026-08-25T13:46:20Z,feat/e02-t-03-03-01--profile-switcher,02-auth-users-admin.md#T-03.03.01,https://github.com/barghsadev/barghsa-core/pull/109
110,feat: default profile selection modal (T-03.03.02),2026-08-25T14:10:32Z,feat/e02-t-03-03-02--default-profile-selection,02-auth-users-admin.md#T-03.03.02,https://github.com/barghsadev/barghsa-core/pull/110
111,feat: profile settings page (T-03.03.03),2026-08-25T14:37:48Z,feat/e02-t-03-03-03--profile-settings-page,02-auth-users-admin.md#T-03.03.03,https://github.com/barghsadev/barghsa-core/pull/111
112,feat: username/contact changes with OTP verification (T-03.03.04),2026-08-25T14:55:10Z,feat/e02-t-03-03-04--username-contact-changes,02-auth-users-admin.md#T-03.03.04,https://github.com/barghsadev/barghsa-core/pull/112
113,feat: notification channel preferences (T-03.03.05),2026-08-25T15:07:24Z,feat/e03-t-03-03-05--notification-preferences,02-auth-users-admin.md#T-03.03.05,https://github.com/barghsadev/barghsa-core/pull/113
114,feat: timezone settings (T-03.03.06),2026-08-25T15:27:25Z,feat/e02-t-03-03-06--timezone-settings,02-auth-users-admin.md#T-03.03.06,https://github.com/barghsadev/barghsa-core/pull/114
115,feat: Address CRUD for current profile (T-03.04.01),2026-08-25T15:52:36Z,feat/e02-t-03-04-01--address-crud,02-auth-users-admin.md#T-03.04.01,https://github.com/barghsadev/barghsa-core/pull/115
116,feat: address in order flow (T-03.04.02),2026-08-25T16:19:07Z,feat/e02-t-03-04-02--address-in-order-flow,02-auth-users-admin.md#T-03.04.02,https://github.com/barghsadev/barghsa-core/pull/116
117,feat: public TOS page (T-04.01.01),2026-08-25T16:53:44Z,feat/e02-t-04-01-01--public-tos-page,02-auth-users-admin.md#T-04.01.01,https://github.com/barghsadev/barghsa-core/pull/117
118,feat(e04): TOS acceptance storage (T-04.01.02),2026-08-25T17:40:36Z,feat/e04-t-04-01-02--tos-acceptance-storage,02-auth-users-admin.md#T-04.01.02,https://github.com/barghsadev/barghsa-core/pull/118
119,feat(e04): TOS re-acceptance flow with banner and modal (T-04.01.03),2026-08-25T18:09:28Z,feat/e04-t-04-01-03--tos-re-acceptance-flow,02-auth-users-admin.md#T-04.01.03,https://github.com/barghsadev/barghsa-core/pull/119
120,feat(e05): CRM users list backend endpoint with cursor pagination (T-05.01.01 slice 1),2026-08-25T18:47:05Z,feat/e05-t-05-01-01--crm-users-endpoint,02-auth-users-admin.md#T-05.01.01,https://github.com/barghsadev/barghsa-core/pull/120
121,feat(e01): implement coverage threshold enforcement in CI (T-05.03.05),2026-08-25T18:53:09Z,feat/e01-t-05-03-05--coverage-threshold,01-platform-infrastructure.md#T-05.03.05,https://github.com/barghsadev/barghsa-core/pull/121
122,feat(e05): add CRM filters and search backend (T-05.01.02),2026-08-25T19:12:08Z,feat/e05-t-05-01-02--crm-filters-search,02-auth-users-admin.md#T-05.01.02,https://github.com/barghsadev/barghsa-core/pull/122
123,feat(e05): full CRM profile detail view with backend API and frontend page (T-05.02.01),2026-08-25T19:50:31Z,feat/e02-t-05-02-01--crm-profile-detail,02-auth-users-admin.md#T-05.02.01,https://github.com/barghsadev/barghsa-core/pull/123
124,feat(e05): staff profile editing with backend PATCH and frontend edit mode (T-05.02.02),2026-08-25T20:28:47Z,feat/e02-t-05-02-02--staff-profile-editing,02-auth-users-admin.md#T-05.02.02,https://github.com/barghsadev/barghsa-core/pull/124
125,feat: verification state management (T-05.02.03),2026-08-25T20:44:18Z,feat/e05-t-05-02-03--verification-state,02-auth-users-admin.md#T-05.02.03,https://github.com/barghsadev/barghsa-core/pull/125
126,feat(e05): force password change and session expiry (T-05.02.04),2026-08-25T21:45:27Z,feat/e05-t-05-02-04--force-password-change-session-expiry,02-auth-users-admin.md#T-05.02.04,https://github.com/barghsadev/barghsa-core/pull/126
127,T-05.02.05 — Identity correction through verification case,2026-08-25T22:07:17Z,feat/e02-t-05-02-05--identity-correction-case,02-auth-users-admin.md#T-05.02.05,https://github.com/barghsadev/barghsa-core/pull/127
